name,lat,long,upload,download
"Baghdad, Iraq",0.6233,1.1325,0.76,4.82
"Manila, Philippines",0.4142,2.1083,0.59,2.38
"London, England",0.5658,1.5863,0.65,3.54
"Amman, Jordan",0.5450,0.6314,0.67,3.87
"London, England",0.3164,1.2253,0.53,2.79
"Quezon City, Philippines",0.4142,2.1083,0.58,3.05
"Taipei, Taiwan",0.4142,2.1083,0.94,3.82
"Dhaka, Bangladesh",0.4236,1.5364,0.56,3.17
"Taipei, Taiwan",0.4142,2.1083,0.91,3.58
sp1-newcaney.tachus.com,0.4508,-1.3125,2.36,17.61
isp.acgtelasia.net,0.5514,1.2361,0.55,0.98
asianetbroadband.in,0.3164,1.2253,0.55,3.51
iad10.gslnetworks.com,0.6812,-1.3426,2.72,18.79
iad01.wdc.pilotfiber.com,0.6812,-1.3426,2.57,17.35
sp1-huntsville.tachus.com,0.4508,-1.3125,1.65,17.34
speedtst-que.asianvision.com.ph,0.4142,2.1083,0.61,3.74
iad.acreto.net,0.6812,-1.3426,2.71,16.4
speedtestlbk.vexusfiber.com,0.5853,-1.8758,2.03,15.15
optic-communications.com,0.0398,-1.5178,2.81,2.66
sp1-oakridge.tachus.com,0.4508,-1.3125,2.57,17.84
aftermath.allpointsbroadband.net,0.6812,-1.3426,1.89,13.59
optimusnet.us,0.6443,-1.9378,2.01,15.23
speedtesttylr.vexusfiber.com,0.5817,-1.6853,1.66,11.94
speed2.jcs.jo,0.545,0.6314,0.46,4.2
speedtestalbq.vexusfiber.com,0.6075,-1.835,2.26,16.57
server-ash.starry.com,0.6812,-1.3426,2.87,4.5
dyl.asiacell.com,0.6233,1.1325,0.76,1.14
speed-node-blr.asianetdigital.net,0.3164,1.2253,0.3,3.0
sp1-magnolia.tachus.com,0.4508,-1.3125,2.75,4.05
speedtest01.srv.asbnva.alticeusa.net,0.6812,-1.3426,3.03,4.72
iad-eqx10-ookla-1.99.network,0.6812,-1.3426,1.12,16.87
ashburn.va.frontier.com,0.6812,-1.3426,0.61,19.07
sp1-willis.tachus.com,0.4508,-1.3125,2.07,17.74
srv6.aptg.com.tw,0.4142,2.1083,0.92,3.89
sp1-montgomery.tachus.com,0.4508,-1.3125,2.2,17.31
iad.dish-wireless.com,0.6812,-1.3426,2.09,18.07
sp1-splendora.tachus.com,0.4508,-1.3125,2.19,16.14
eastlink.ca,0.7854,-1.3936,2.34,14.83
centurylink.net,0.6897,-1.997,2.24,10.83
austx-ookla-01.st.charter.com,0.4725,-1.393,2.21,3.79
speed-node-hyd.asianetdigital.net,0.3528,1.2003,0.55,0.89
usinternet.com,0.775,-1.6639,0.59,17.43
speed-cok-node-a.asianetdigital.net,0.3164,1.2253,0.57,0.99
varackdog.com,0.6812,-1.3426,1.82,9.01
oceansls.com,0.6812,-1.3426,1.65,10.64
srv4.aptg.com.tw,0.4142,2.1083,0.94,5.95
ashbn-va.shentel.net,0.6812,-1.3426,1.54,17.14
tachus.com,0.4508,-1.3125,2.26,17.99
asbn.va.wtsky.net,0.6812,-1.3426,2.39,16.16
speedtestlscr.vexusfiber.com,0.566,-1.94,1.78,11.89
krb.asiacell.com,0.6233,1.1325,0.61,4.82
network.utexas.edu,0.4725,-1.393,1.74,4.18
rlvl-02.brightspeed.com,0.6897,-1.997,2.66,4.89
qwest.net,0.6897,-1.997,2.17,13.81
asiatech.com,0.5658,1.5863,0.65,4.07
wellington-connectwithusa.com,0.6897,-1.997,2.37,3.79
sulfm.asiacell.com,0.6233,1.1325,0.73,1.17
speedtst-tim.asianvision.com.ph,0.4142,2.1083,0.6,2.81
sp1-woodlands.tachus.com,0.4508,-1.3125,2.45,17.18
va-speed.magna5.com,0.6805,-1.348,1.73,10.0
sp1-shenandoah.tachus.com,0.4508,-1.3125,1.69,17.13
bellaliant.net,0.7854,-1.3936,2.27,15.85
chspeed.shawnee.com,0.6852,-1.3538,1.57,14.55
sp1-porter.tachus.com,0.4508,-1.3125,2.55,17.59
ash.vts.bf,0.6812,-1.3426,0.99,6.61
ash.clouvider.net,0.6812,-1.3426,2.66,19.11
sp2.janusnetworks.com,0.5661,-2.1753,1.67,9.76
speed-node-slm.asianetdigital.net,0.3164,1.2253,0.54,3.45
cogeco.net,0.7854,-1.3936,2.87,24.02
speedtest1.acentek.net,0.5078,-1.6793,1.97,16.36
ashburn02.windstream.net,0.6812,-1.3426,1.64,19.87
speedtst-zmb.asianvision.com.ph,0.4142,2.1083,0.33,4.17
stratusiq.com,0.683,-1.9335,2.09,14.28
speedash.phoenixnap.com,0.6812,-1.3426,0.62,19.29
speedtestncgd.vexusfiber.com,0.5817,-1.6853,2.1,15.29
bgdap.asiacell.com,0.5083,1.025,0.56,5.17
sp1-tomball.tachus.com,0.4508,-1.3125,2.36,17.79
ookla.enlightenedfiber.com,0.6897,-1.997,1.68,11.22
iad.fdcservers.net,0.6812,-1.3426,2.59,19.74
iad.gigenet.com,0.6812,-1.3426,1.58,8.05
ookla.infra.treehouse.mn,0.6897,-1.997,2.05,14.05
st1.stratusnet.com,0.6897,-1.997,3.57,26.11
speedtest1.shsu.edu,0.4508,-1.3125,2.2,16.16
sp1-cleveland.tachus.com,0.4508,-1.3125,2.16,17.93
asiannetworkbd.net,0.4236,1.5364,0.56,3.43
cb-uswest-1.aryasarukkai.xyz,0.775,-1.6639,1.73,9.44
ifn.net,0.6897,-1.997,2.29,12.41
ette.biz,0.6808,-1.3445,1.78,8.83
sp1-newwaverly.tachus.com,0.4508,-1.3125,2.35,15.45
sp01.seddt.net,0.6897,-1.997,2.06,14.57
sp1-conroe.tachus.com,0.4508,-1.3125,2.2,17.8
